" TB prevalence, all forms (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Tuvalu,56,55,53,52,50,49,48,47,45,44,43,42,41,39,38,26,27,21
Uganda,"36,793","57,997","65,667","74,816","81,047","88,764","91,788","77,295","83,031","86,089","96,623","104,583","117,484","129,241","132,367","135,775","134,614","131,636"
Ukraine,"34,704","32,943","34,767","36,794","38,391","39,951","44,010","46,961","51,925","53,938","58,621","62,167","63,647","64,164","62,417","52,927","46,203","47,008"
United Arab Emirates,876,870,871,860,869,875,865,889,904,935,889,924,955,950,984,"1,004","1,031","1,044"
United Kingdom,"5,221","5,321","5,485","5,514","5,444","5,371","5,457","5,411","5,392","5,349","5,302","5,501","5,549","5,836","6,198","6,698","6,927","7,157"
Tanzania,"54,774","60,031","65,322","71,015","78,181","84,568","92,529","102,098","107,252","114,506","123,142","127,241","136,548","138,934","139,825","140,240","139,234","136,253"
Virgin Islands (U.S.),31,29,28,26,26,25,20,20,19,21,21,20,20,19,19,18,18,18
United States of America,"18,111","18,836","18,673","18,163","17,212","16,278","15,209","14,144","13,253","12,426","11,862","11,273","10,917","10,567","10,331","10,074","9,784","9,484"
Uruguay,"1,075","1,052","1,030","1,008",986,963,911,896,909,913,890,847,901,834,767,807,819,775
Uzbekistan,"23,301","22,020","22,033","25,880","26,028","27,351","26,000","28,834","31,062","32,767","34,376","36,999","36,609","39,180","39,092","38,189","36,091","38,445"
Vanuatu,415,413,411,409,406,402,397,391,384,295,271,248,297,262,248,282,231,231
Venezuela,"9,014","9,074","9,121","9,158","9,185","9,202","9,344","9,357","9,385","9,393","9,611","10,121","10,319","9,984","10,053","10,187","10,401","10,662"
Viet Nam,"241,512","244,396","247,202","249,786","251,977","253,694","232,748","206,901","200,742","197,190","195,916","195,080","191,216","193,731","189,239","192,892","191,336","192,092"
Wallis et Futuna,17,49,9,24,24,13,18,31,16,16,15,2,41,22,10,9,9,4
